2019-12-04 00:16:32,507 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 36585 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-04 10:45:23,748 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 37899 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-04 10:45:23,750 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-04 10:45:26,235 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 2.941 seconds (JVM running for 3.655)
2019-12-04 10:50:51,905 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 37915 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-04 10:50:51,907 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-04 10:50:54,569 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 3.065 seconds (JVM running for 3.816)
2019-12-04 13:58:35,321 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 38394 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-04 13:58:35,323 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-04 13:58:37,829 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 2.903 seconds (JVM running for 3.705)
2019-12-04 14:23:05,778 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 38493 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-04 14:23:05,780 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-04 14:23:08,709 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 3.328 seconds (JVM running for 4.047)
2019-12-04 15:04:59,852 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 38635 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-04 15:04:59,853 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-04 15:05:02,621 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 3.188 seconds (JVM running for 3.878)
2019-12-04 17:17:45,854 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 39100 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-04 17:17:45,858 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-04 17:17:48,567 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 3.136 seconds (JVM running for 3.745)
2019-12-04 17:23:34,686 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 39128 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-04 17:23:34,688 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-04 17:23:36,919 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 2.525 seconds (JVM running for 3.191)
2019-12-04 21:04:06,745 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 39917 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-04 21:04:06,747 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-04 21:04:09,188 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 2.767 seconds (JVM running for 3.512)
2019-12-04 21:05:40,385 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 39941 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-04 21:05:40,386 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-04 21:05:42,778 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 2.686 seconds (JVM running for 3.211)
2019-12-04 21:17:32,982 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 40088 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-04 21:17:32,983 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-04 21:17:35,421 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 2.816 seconds (JVM running for 3.521)
2019-12-04 21:34:18,717 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 40206 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-04 21:34:18,719 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-04 21:34:21,342 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 2.946 seconds (JVM running for 3.681)
2019-12-04 21:50:26,125 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 40353 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-04 21:50:26,127 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-04 21:50:28,770 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 3.099 seconds (JVM running for 3.822)
2019-12-04 21:55:22,978 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 40365 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-04 21:55:22,980 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-04 21:55:25,418 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 2.807 seconds (JVM running for 3.491)
2019-12-04 22:27:28,659 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 40444 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-04 22:27:28,660 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-04 22:27:31,138 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 2.856 seconds (JVM running for 3.547)
2019-12-04 22:36:09,137 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 40479 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-04 22:36:09,139 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-04 22:36:11,616 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 2.888 seconds (JVM running for 3.556)
2019-12-04 22:38:58,460 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 40494 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-04 22:38:58,462 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-04 22:39:01,250 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 3.16 seconds (JVM running for 3.799)
2019-12-04 22:41:57,731 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 40508 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-04 22:41:57,733 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-04 22:42:00,636 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 3.309 seconds (JVM running for 3.938)
2019-12-04 22:59:29,544 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 40592 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-04 22:59:29,546 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-04 22:59:32,046 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 2.888 seconds (JVM running for 3.552)
2019-12-04 23:48:57,559 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 40784 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-04 23:48:57,561 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-04 23:49:00,438 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 3.327 seconds (JVM running for 4.07)
